ID	RPKM
b0001	0
b0002	47.76
b0003	59.94
b0004	66.81
b0005	32.84
b0006	138.84
b0007	57.55
b0008	4167.24
b0009	53.31
b0010	9.9
b0011	6.03
b0013	6.26
b0014	632.72
b0015	50.45
b0018	74.93
b0019	73.03
b0020	80.44
b0021	1.54
b0023	4024.38
b0024	38.02
b0025	343.82
b0026	278.87
b0027	98.14
b0028	63.09
b0029	272.79
b0030	335.95
b0031	91.41
b0032	20.63
b0033	17.96
b0034	112.32
b0035	2.37
b0036	2.25
b0037	20.39
b0038	27.11
b0039	27.63
b0040	1.9
b0041	4.38
b0042	1.82
b0043	1.91
b0044	0.21
b0045	0.48
b0046	4.99
b0047	9.54
b0048	149.59
b0049	165.82
b0050	356.4
b0051	660.73
b0052	343.83
b0053	662.02
b0054	783.48
b0055	0
b0058	108.13
b0059	87.72
b0060	30.11
b0061	13.98
b0062	9.45
b0063	4.91
b0064	50
b0065	24.27
b0066	10.77
b0067	5.15
b0068	23.27
b0069	16.78
b0070	24.38
b0071	16.13
b0072	7.75
b0073	12.16
b0074	9.66
b0075	31.14
b0076	8.33
b0077	11.17
b0078	26.46
b0080	288.69
b0081	759.73
b0082	266.62
b0083	233.15
b0084	290.13
b0085	135.25
b0086	339.55
b0087	98.17
b0088	97.22
b0089	128.31
b0090	188.68
b0091	93.95
b0092	132.14
b0093	415.35
b0094	410.35
b0095	571.68
b0096	2053.53
b0097	1382.3
b0098	690.32
b0099	76.86
b0101	255.33
b0102	128.84
b0103	129.09
b0104	74.5
b0106	10.05
b0107	15.59
b0108	6.1
b0109	168.07
b0110	139.12
b0111	53.19
b0112	14.07
b0113	227.99
b0114	423.31
b0115	303.19
b0116	682.3
b0117	2.11
b0118	303.99
b0119	97.63
b0120	479.01
b0121	427.49
b0122	946.81
b0123	15.13
b0124	7.03
b0125	350.21
b0126	478.18
b0127	88.04
b0128	32.54
b0129	40.64
b0130	81.28
b0131	453.01
b0132	14.7
b0133	298.07
b0134	203.31
b0135	10.11
b0136	4.04
b0137	4.55
