Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression 1	Expression 2	Expression 3	Expression 4	Expression 5	Expression 6	Expression 7	Expression 8	Expression 9	Expression 10	Expression 11	Expression 12	Expression 13	Expression 14	Expression 15	Expression 16
155	190	255	255	+	thrL	b0001	thr operon leader peptide	438	417	231	99	61	182	133	100	108	164	535	718	730	1443	523	554
256	337	2799	2800	+	thrA	b0002	fused aspartokinase I and homoserine dehydrogenase I	341	331	221	122	76	728	349	89	434	333	301	499	516	378	158	230
2801	2801	3733		+	thrB	b0003	homoserine kinase	334	327	269	152	117	822	453	122	523	394	324	543	539	333	139	182
	3734	5020	5030	+	thrC	b0004	threonine synthase	257	249	155	104	86	558	242	91	366	245	226	326	297	240	95	146
5112	5234	5530	5530	+	yaaX	b0005	predicted protein	32	27	15	14	11	20	27	9	20	25	49	31	28	25	41	50
6472	6459	5683	5641	-	yaaA	b0006	"Peroxide resistance protein, lowers intracellular iron"	142	140	156	174	298	283	120	243	232	133	136	125	80	123	111	115
8089	7959	6529	6529	-	yaaJ	b0007	predicted transporter	4	3	5	5	3	5	4	4	3	2	41	15	46	27	54	63
8198	8238	9191	9191	+	talB	b0008	transaldolase B	1268	1291	1418	1937	2306	2034	1351	2276	1645	1315	752	910	964	1044	576	565
8367			8277	-	-	predicted RNA	antisense: talB	133	127	482	794	259	465	482	411	283	363	662	843	908	485	580	436
8991			8898	-	-	predicted RNA	antisense: talB	113	117	496	820	325	583	584	388	384	511	480	480	551	385	392	310
9304	9306	9893	9898	+	mog	b0009	molybdochelatase incorporating molybdenum into molybdopterin	109	111	103	72	36	64	74	36	52	73	34	14	45	18	39	44
10494	10494	9928	9926	-	yaaH	b0010	"inner membrane protein, Grp1_Fun34_YaaH family"	104	97	71	16	14	15	84	18	20	100	76	57	49	55	76	77
11356	11356	10643	10495	-	yaaW	b0011	"conserved protein, UPF0174 family"	4	3	3	2	2	1	3	2	2	1	33	8	22	15	37	40
11803	11786	11382	11357	-	yaaI	b0013	"conserved protein, UPF0412 family"	2	2	2	1	2	2	2	2	0	0	27	8	24	16	53	70
12048	12163	14079	14079	+	dnaK	b0014	"chaperone Hsp70, co-chaperone with DnaJ"	2325	2540	2372	1164	1546	4046	3224	1174	3000	3147	1850	984	1758	1045	610	1318
13071			13005	-	-	predicted RNA	antisense: dnaK	321	331	670	303	196	696	710	150	505	536	618	289	681	298	344	558
14149	14168	15298	15381	+	dnaJ	b0015	"chaperone Hsp40, co-chaperone with DnaK"	264	274	205	71	27	119	209	21	122	210	71	30	107	29	48	61
15426	15445	16557	16567	+	insL	b0016	IS186 transposase	79	84	96	72	61	57	83	79	55	82	67	44	61	61	66	78
	16960	16751	16737	-	mokC	b0018	"regulatory protein for HokC, overlaps CDS of hokC"	14	13	12	10	8	5	18	14	13	15	45	26	51	44	52	47
16903	16903	16751		-	hokC	b4412	"toxic membrane protein, small"	12	11	12	11	9	5	16	15	11	14	46	24	56	46	51	46
16952			17006	+	sokC	b4413	-	4	2	6	1	2	1	0	3	11	0	41	28	21	23	73	85
17465	17489	18655	18714	+	nhaA	b0019	sodium-proton antiporter	163	149	341	196	128	166	207	165	152	227	99	130	130	86	131	123
18715	18715	19620	19705	+	nhaR	b0020	DNA-binding transcriptional activator	43	41	91	59	59	57	46	67	53	51	76	86	58	71	84	73
	20314	19811	19753	-	insB	b0021	IS1 transposase B	5	7	9	7	5	4	8	7	4	6	32	13	27	19	45	38
20611	20508	20233		-	insA	b0022	IS1 repressor TnpA	15	16	16	10	6	5	14	7	4	10	34	10	26	18	47	53
21201	21078	20815	20809	-	rpsT	b0023	30S ribosomal subunit protein S20	7658	7251	7004	4340	3054	1572	4861	4448	2102	4892	947	881	699	1059	583	1071
20835			20934	+	-	predicted RNA	antisense: rpsT	330	308	1068	454	154	166	880	335	196	558	339	276	323	212	217	295
21073	21181	21399	21399	+	yaaY	b0024	predicted protein	13	10	13	9	8	2	8	10	3	10	41	32	34	50	58	57
21402	21407	22348	22372	+	ribF	b0025	bifunctional riboflavin kinase/FAD synthetase	423	416	453	397	476	407	373	438	406	398	231	250	215	262	197	190
22390	22391	25207		+	ileS	b0026	isoleucyl-tRNA synthetase	246	248	206	207	128	222	230	120	187	192	93	125	119	99	61	65
	25207	25701	25722	+	lspA	b0027	prolipoprotein signal peptidase (signal peptidase II)	143	159	192	184	130	158	184	124	122	185	116	145	130	150	94	74
25826	25826	26275	26276	+	fkpB	b0028	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	128	128	156	141	97	90	120	104	80	123	70	66	71	71	70	60
26277	26277	27227	27227	+	ispH	b0029	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"	141	142	125	129	108	98	142	111	109	134	46	52	60	54	57	51
27293	27293	28207	28296	+	rihC	b0030	ribonucleoside hydrolase 3	25	30	25	24	13	8	16	25	9	16	45	5	34	11	28	55
28337	28374	29195	29205	+	dapB	b0031	dihydrodipicolinate reductase	179	173	113	106	82	159	117	54	137	110	117	152	105	116	84	87
29615	29651	30799	30799	+	carA	b0032	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"	74	85	36	40	33	282	39	28	185	41	208	275	333	150	42	102
30800	30817	34038	34038	+	carB	b0033	carbamoyl-phosphate synthase large subunit	42	45	21	23	18	180	26	16	126	23	106	140	155	92	30	57
34138	34300	34695	34695	+	caiF	b0034	DNA-binding transcriptional activator	10	10	9	9	14	33	9	13	27	9	83	27	41	38	59	81
35376	35371	34781	34781	-	caiE	b0035	stimulator of CaiD and CaiB enzyme activities	3	2	1	1	2	1	2	1	0	1	33	6	23	13	44	52
36162	36162	35377	35377	-	caiD	b0036	carnitinyl-CoA dehydratase	1	0	1	0	0	0	0	0	0	0	11	1	11	3	18	24
37893	37824	36271	36228	-	caiC	b0037	probable crotonobetaine/carnitine-CoA ligase	6	6	4	4	4	6	4	5	3	4	27	10	22	19	44	49
39115	39115	37898	37898	-	caiB	b0038	crotonobetainyl CoA:carnitine CoA transferase	6	7	7	7	6	5	2	6	5	4	37	9	35	17	56	59
40386	40386	39244	39244	-	caiA	b0039	"crotonobetaine reductase subunit II, FAD-binding"	11	11	10	10	10	8	6	12	7	6	23	12	18	14	31	32
41931	41931	40417	40391	-	caiT	b0040	predicted transporter	0	0	0	1	1	1	1	0	0	0	44	6	26	21	66	79
