Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression CV104_pHDB3_5	Expression CV104_pHDB3_10	Expression CV104_pHDB3_20	Expression CV104_pLCV1_5	Expression CV104_pLCV1_10	Expression CV104_pLCV1_20
174	190	255	272	+	thrL	b0001	thr operon leader peptide	271	314	345	334	268	329
337	337	2799	2800	+	thrA	b0002	fused aspartokinase I and homoserine dehydrogenase I	488	541	522	539	513	565
2801	2801	3733		+	thrB	b0003	homoserine kinase	328	392	328	336	349	393
	3734	5020	5020	+	thrC	b0004	threonine synthase	344	437	381	355	424	421
	5234	5530		+	yaaX	b0005	predicted protein	27	35	37	35	31	40
	6459	5683		-	yaaA	b0006	"Peroxide resistance protein, lowers intracellular iron"	76	71	71	77	76	70
	7959	6529		-	yaaJ	b0007	predicted transporter	6	6	5	8	8	6
8214	8238	9191	9191	+	talB	b0008	transaldolase B	1045	1022	990	1118	987	1044
	9306	9893		+	mog	b0009	molybdochelatase incorporating molybdenum into molybdopterin	114	119	114	120	106	111
	10494	9928		-	yaaH	b0010	"inner membrane protein, Grp1_Fun34_YaaH family"	80	79	74	94	85	81
	11356	10643		-	yaaW	b0011	"conserved protein, UPF0174 family"	2	5	6	8	5	6
	11786	11382		-	yaaI	b0013	"conserved protein, UPF0412 family"	2	6	5	7	6	4
12069	12163	14079	14079	+	dnaK	b0014	"chaperone Hsp70, co-chaperone with DnaJ"	2932	2561	1913	3289	2607	1881
14080	14168	15298	15299	+	dnaJ	b0015	"chaperone Hsp40, co-chaperone with DnaK"	589	549	424	580	517	439
	15445	16557		+	insL	b0016	IS186 transposase	95	88	88	108	91	97
	16960	16751		-	mokC	b0018	"regulatory protein for HokC, overlaps CDS of hokC"	24	18	21	20	22	27
	16903	16751		-	hokC	b4412	"toxic membrane protein, small"	25	19	20	20	23	28
16952			17006	+	sokC	b4413	-	19	10	17	22	17	17
	17489	18655		+	nhaA	b0019	sodium-proton antiporter	70	69	62	62	74	60
	18715	19620		+	nhaR	b0020	DNA-binding transcriptional activator	39	34	37	37	43	37
	20314	19811		-	insB	b0021	IS1 transposase B	13	15	12	15	17	13
	20508	20233		-	insA	b0022	IS1 repressor TnpA	6	11	10	20	10	11
21180	21078	20815	20809	-	rpsT	b0023	30S ribosomal subunit protein S20	8126	7580	8409	7636	8285	8149
	21181	21399		+	yaaY	b0024	predicted protein	67	59	64	54	71	64
21407	21407	22348	22348	+	ribF	b0025	bifunctional riboflavin kinase/FAD synthetase	281	269	257	252	265	270
22349	22391	25207		+	ileS	b0026	isoleucyl-tRNA synthetase	453	492	436	447	448	457
	25207	25701	25709	+	lspA	b0027	prolipoprotein signal peptidase (signal peptidase II)	247	271	211	221	264	253
	25826	26275		+	fkpB	b0028	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	130	157	144	137	153	148
	26277	27227		+	ispH	b0029	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein"	157	171	157	154	165	170
	27293	28207		+	rihC	b0030	ribonucleoside hydrolase 3	30	27	29	25	30	39
	28374	29195		+	dapB	b0031	dihydrodipicolinate reductase	120	132	125	117	119	117
	29651	30799		+	carA	b0032	"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase"	73	78	183	71	67	147
